Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.70, 2018)",SIR_2015,Months,Notes,Facility_Type,On_Track,Met_2020_Goal,Year ,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,Infection_Count,SIR ,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Facility_ID1,Cases,Predicted_Cases,Hospital_Onset_Cases,Facility_Category
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teaching,2.0,5.05,84250.0,0.4,0.07,1.31,Same,Yes,0.45,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Care Hospital,Community (125-250 Beds),1.0,1.89,54964.0,0.53,0.03,2.61,Same,Yes,0.5,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San Leandro Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),0.0,0.55,11584.0,0.0,0.0,6.71,Same,Yes,2.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041.0,St Rose Hospital,Alameda,Acute Care Hospital,Community (125-250 Beds),2.0,1.22,22674.0,1.65,0.28,5.44,Same,No,0.65,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Community (125-250 Beds),2.0,1.21,29180.0,1.65,0.28,5.45,Same,No,,12.0, See data dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,0.0,1.47,46028.0,0.0,0.0,2.04,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Alameda,Acute Care Hospital,Community (>250 Beds),1.0,2.35,57042.0,0.43,0.02,2.1,Same,Yes,0.74,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-term Acute Care Hospital,LTAC,3.0,4.59,27806.0,0.65,0.17,1.78,Same,Yes,0.74,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.34,17667.0,0.0,0.0,10.98,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000184.0,Fairmont Hospital,Alameda,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0.0,0.14,7543.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,Sutter Amador Hospital,Amador,Acute Care Hospital,Community (<125 Beds),0.0,0.24,10500.0,0.0,0.0,15.22,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000005.0,Adventist Health Feather River,Butte,Acute Care Hospital,Community (<125 Beds),0.0,0.61,15445.0,0.0,0.0,6.03,Same,Yes,,10.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"Enloe Medical Center, Esplanade",Butte,Acute Care Hospital,Community (>250 Beds),1.0,3.51,81152.0,0.29,0.01,1.4,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Oroville Hospital,Butte,Acute Care Hospital,Community (125-250 Beds),0.0,1.87,46470.0,0.0,0.0,1.6,Same,Yes,1.15,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0.0,0.02,840.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0.0,0.13,6778.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000120.0,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0.0,0.06,3099.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,2.0,2.55,41547.0,0.78,0.13,2.59,Same,No,0.0,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Contra Costa,Acute Care Hospital,Major Teaching,3.0,3.24,54179.0,0.93,0.24,2.52,Same,No,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Acute Care Hospital,Major Teaching,2.0,6.39,94900.0,0.31,0.05,1.04,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Contra Costa,Acute Care Hospital,Community (125-250 Beds),0.0,1.05,31354.0,0.0,0.0,2.86,Same,Yes,1.09,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundation Hospital, Richmond Campus",Contra Costa,Acute Care Hospital,Major Teaching,0.0,0.64,14160.0,0.0,0.0,5.75,Same,Yes,,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,Acute Care Hospital,Community (125-250 Beds),1.0,2.93,60242.0,0.34,0.02,1.68,Same,Yes,0.32,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,Community (<125 Beds),1.0,0.52,18579.0,1.93,0.05,10.75,Same,No,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,Community (125-250 Beds),1.0,1.01,31139.0,0.99,0.05,4.9,Same,No,0.65,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.15,7897.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Del Norte,Acute Care Hospital,Community (<125 Beds),0.0,0.32,7986.0,0.0,0.0,11.56,Same,Yes,,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,"Sutter Coast Hospital, Rehabilitation Unit",Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.04,2313.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,Barton Memorial Hospital,El Dorado,Acute Care Hospital,Community (<125 Beds),0.0,0.26,7503.0,0.0,0.0,14.2,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,Marshall Medical Center,El Dorado,Acute Care Hospital,Community (<125 Beds),2.0,0.73,21938.0,2.75,0.33,9.92,Same,No,2.12,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000124.0,Adventist Health Reedley,Fresno,Acute Care Hospital,Community (<125 Beds),0.0,0.15,6795.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000122.0,Adventist Health Selma,Fresno,Acute Care Hospital,Community (<125 Beds),0.0,0.12,6169.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,Clovis Community Medical Center,Fresno,Acute Care Hospital,Community (125-250 Beds),0.0,1.94,69250.0,0.0,0.0,1.54,Same,Yes,0.43,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000096.0,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,Community (<125 Beds),0.0,0.0,261.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,8.0,14.84,190252.0,0.54,0.25,1.02,Same,Yes,1.36,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),0.0,0.45,11788.0,0.0,0.0,8.15,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),0.0,0.03,2605.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hospital,Community (125-250 Beds),0.0,1.94,35723.0,0.0,0.0,1.55,Same,Yes,2.83,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Community (>250 Beds),8.0,8.78,111613.0,0.91,0.42,1.73,Same,No,1.47,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,"Community Regional Medical Center, Rehabilitation Unit",Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,1.0,0.18,9666.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0.0,0.36,18912.0,0.0,0.0,10.26,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0.0,0.1,4784.0,,,,,,,11.0,"Incomplete Reporter, interpret with caution",,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021.0,Mad River Community Hospital,Humboldt,Acute Care Hospital,Community (<125 Beds),0.0,0.21,9167.0,0.0,0.0,17.9,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,"St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Community (125-250 Beds),0.0,1.85,33360.0,0.0,0.0,1.62,Same,Yes,3.72,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0.0,0.02,1171.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,0.0,0.11,5515.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0.0,0.05,2546.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,El Centro Regional Medical Center,Imperial,Acute Care Hospital,Community (<125 Beds),0.0,1.08,26701.0,0.0,0.0,2.76,Same,Yes,1.08,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000146.0,Pioneers Memorial Healthcare District,Imperial,Acute Care Hospital,Community (<125 Beds),0.0,0.74,22280.0,0.0,0.0,5.02,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037.0,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0.0,0.09,4298.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102.0,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,,,,,,,,,,0.0,"Incomplete Reporter, interpret with caution",,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411.0,Adventist Health Bakersfield,Kern,Acute Care Hospital,Community (>250 Beds),2.0,3.45,74286.0,0.58,0.1,1.91,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Bakersfield Heart Hospital,Kern,Acute Care Hospital,Community (<125 Beds),0.0,0.55,12029.0,0.0,0.0,6.72,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,Community (>250 Beds),6.0,4.72,69821.0,1.27,0.52,2.64,Same,No,0.63,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336.0,Delano Regional Medical Center,Kern,Acute Care Hospital,Community (<125 Beds),0.0,0.37,9482.0,0.0,0.0,10.01,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,Community (<125 Beds),0.0,0.13,5040.0,,,,,,0.0,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,4.0,2.68,42030.0,1.49,0.47,3.6,Same,No,0.99,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Mercy Hospital,Kern,Acute Care Hospital,Community (<125 Beds),0.0,0.89,17898.0,0.0,0.0,4.16,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,Mercy Southwest Hospital,Kern,Acute Care Hospital,Community (<125 Beds),0.0,1.02,24549.0,0.0,0.0,2.93,Same,Yes,0.0,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413.0,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0.0,0.01,335.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,0.0,0.05,2448.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,0.0,0.15,6997.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555.0,Healthsouth Bakersfield Rehabilitation Hospital,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0.0,0.42,21911.0,0.0,0.0,8.85,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960.0,Adventist Health Hanford,Kings,Acute Care Hospital,Community (125-250 Beds),0.0,1.99,43542.0,0.0,0.0,1.5,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,0.0,0.12,5823.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,0.0,0.14,6841.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0.0,0.09,4214.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Glendale,Los Angeles,Acute Care Hospital,Community (>250 Beds),5.0,4.86,78729.0,1.03,0.38,2.28,Same,No,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,Major Teaching,2.0,5.06,85410.0,0.4,0.07,1.31,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0.0,0.84,20635.0,0.0,0.0,4.41,Same,Yes,1.21,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,Antelope Valley Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),5.0,4.12,89445.0,1.21,0.45,2.69,Same,No,0.95,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Beverly Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2.0,1.58,38945.0,1.27,0.21,4.2,Same,No,2.54,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,"California Hospital Medical Center, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,2.0,3.89,74952.0,0.52,0.09,1.7,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0.0,0.1,4485.0,,,,,,0.0,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0.0,0.47,15010.0,0.0,0.0,7.8,Same,Yes,,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004.0,Cedars-Sinai Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,13.0,15.5,276262.0,0.84,0.47,1.4,Same,No,0.93,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),7.0,2.63,62801.0,2.67,1.17,5.27,Worse,No,0.7,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,Children's Hospital Los Angeles,Los Angeles,Acute Care Hospital,Pediatric,0.0,4.87,115664.0,0.0,0.0,0.62,Better,Yes,0.49,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,City of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),9.0,8.45,75335.0,1.07,0.52,1.96,Same,No,0.82,12.0,,,,,,,,,,,,,,,,,,,,
